1644790338 INTERNAL *** MONITORD_STARTED ***
1644790337 INTERNAL *** DAGMAN_STARTED 581.0 ***
1644790341 create_dir_1000-genome_0_local SUBMIT 582.0 local - 111
1644790342 create_dir_1000-genome_0_local EXECUTE 582.0 local - 111
1644790344 create_dir_1000-genome_0_local JOB_TERMINATED 582.0 local - 111
1644790346 create_dir_1000-genome_0_local JOB_SUCCESS 0 local - 111
1644790346 create_dir_1000-genome_0_local POST_SCRIPT_STARTED 582.0 local - 111
1644790346 create_dir_1000-genome_0_local POST_SCRIPT_TERMINATED 582.0 local - 111
1644790351 create_dir_1000-genome_0_local POST_SCRIPT_SUCCESS 0 local - 111
1644790356 stage_in_remote_local_2_0 SUBMIT 583.0 local - 112
1644790356 stage_in_remote_local_2_0 EXECUTE 583.0 local - 112
1644790356 stage_in_remote_local_1_0 SUBMIT 584.0 local - 113
1644790356 stage_in_remote_local_0_0 SUBMIT 585.0 local - 114
1644790356 stage_in_local_local_0_0 SUBMIT 586.0 local - 115
1644790356 stage_in_local_local_2_0 SUBMIT 587.0 local - 116
1644790358 stage_in_remote_local_2_0 JOB_TERMINATED 583.0 local - 112
1644790362 stage_in_remote_local_2_0 JOB_SUCCESS 0 local - 112
1644790362 stage_in_remote_local_2_0 POST_SCRIPT_STARTED 583.0 local - 112
1644790358 stage_in_local_local_2_0 EXECUTE 587.0 local - 116
1644790358 stage_in_local_local_0_0 EXECUTE 586.0 local - 115
1644790358 stage_in_remote_local_0_0 EXECUTE 585.0 local - 114
1644790358 stage_in_remote_local_1_0 EXECUTE 584.0 local - 113
1644790361 stage_in_local_local_0_0 JOB_TERMINATED 586.0 local - 115
1644790362 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 115
1644790362 stage_in_local_local_0_0 POST_SCRIPT_STARTED 586.0 local - 115
1644790361 stage_in_remote_local_0_0 JOB_TERMINATED 585.0 local - 114
1644790362 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 114
