Calculation,FirstSubmit,FinalSuccess,Jobs_Exec_Time,Total_Energy,Energy_Saving,192.168.1.161,192.168.1.162,192.168.1.163
Overall,1611624288,1611631910,7622, 39.3437, 1.0000, 13.3762, 13.0227, 12.9448
NodeBasis,1611624288,1611631910,7622, 38.9541, 0.9901, 13.3762, 12.8298, 12.7480
