1646431825 INTERNAL *** MONITORD_STARTED ***
1646431824 INTERNAL *** DAGMAN_STARTED 4116.0 ***
1646431828 create_dir_1000-genome_0_local SUBMIT 4117.0 local - 241
1646431829 create_dir_1000-genome_0_local EXECUTE 4117.0 local - 241
1646431832 create_dir_1000-genome_0_local JOB_TERMINATED 4117.0 local - 241
1646431833 create_dir_1000-genome_0_local JOB_SUCCESS 0 local - 241
1646431833 create_dir_1000-genome_0_local POST_SCRIPT_STARTED 4117.0 local - 241
1646431833 create_dir_1000-genome_0_local POST_SCRIPT_TERMINATED 4117.0 local - 241
1646431838 create_dir_1000-genome_0_local POST_SCRIPT_SUCCESS 0 local - 241
1646431843 stage_in_remote_local_2_0 SUBMIT 4118.0 local - 242
1646431843 stage_in_remote_local_2_0 EXECUTE 4118.0 local - 242
1646431843 stage_in_remote_local_1_0 SUBMIT 4119.0 local - 243
1646431843 stage_in_remote_local_0_0 SUBMIT 4120.0 local - 244
1646431843 stage_in_local_local_0_0 SUBMIT 4121.0 local - 245
1646431843 stage_in_local_local_2_0 SUBMIT 4122.0 local - 246
1646431845 stage_in_remote_local_2_0 JOB_TERMINATED 4118.0 local - 242
1646431848 stage_in_remote_local_2_0 JOB_SUCCESS 0 local - 242
1646431848 stage_in_remote_local_2_0 POST_SCRIPT_STARTED 4118.0 local - 242
1646431845 stage_in_local_local_2_0 EXECUTE 4122.0 local - 246
1646431845 stage_in_local_local_0_0 EXECUTE 4121.0 local - 245
1646431845 stage_in_remote_local_0_0 EXECUTE 4120.0 local - 244
1646431845 stage_in_remote_local_1_0 EXECUTE 4119.0 local - 243
1646431848 stage_in_remote_local_1_0 JOB_TERMINATED 4119.0 local - 243
1646431848 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 243
1646431848 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 4119.0 local - 243
1646431848 stage_in_local_local_0_0 JOB_TERMINATED 4121.0 local - 245
1646431848 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 245
1646431848 stage_in_local_local_0_0 POST_SCRIPT_STARTED 4121.0 local - 245
1646431848 stage_in_remote_local_0_0 JOB_TERMINATED 4120.0 local - 244
1646431848 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 244
1646431848 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 4120.0 local - 244
1646431848 stage_in_remote_local_0_1 SUBMIT 4123.0 local - 247
1646431848 stage_in_remote_local_0_1 EXECUTE 4123.0 local - 247
1646431848 stage_in_local_local_0_1 SUBMIT 4124.0 local - 248
1646431848 stage_in_local_local_0_1 EXECUTE 4124.0 local - 248
1646431848 stage_in_local_local_2_1 SUBMIT 4125.0 local - 249
1646431848 stage_in_local_local_2_1 EXECUTE 4125.0 local - 249
1646431848 stage_in_remote_local_2_1 SUBMIT 4126.0 local - 250
1646431848 stage_in_local_local_0_2 SUBMIT 4127.0 local - 251
1646431849 stage_in_remote_local_1_0 POST_SCRIPT_TERMINATED 4119.0 local - 243
1646431853 stage_in_remote_local_1_0 POST_SCRIPT_SUCCESS 0 local - 243
1646431849 stage_in_remote_local_0_0 POST_SCRIPT_TERMINATED 4120.0 local - 244
1646431853 stage_in_remote_local_0_0 POST_SCRIPT_SUCCESS 0 local - 244
1646431849 stage_in_remote_local_2_0 POST_SCRIPT_TERMINATED 4118.0 local - 242
1646431853 stage_in_remote_local_2_0 POST_SCRIPT_SUCCESS 0 local - 242
1646431849 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 4121.0 local - 245
1646431853 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 245
1646431849 stage_in_local_local_2_0 JOB_TERMINATED 4122.0 local - 246
1646431853 stage_in_local_local_2_0 JOB_SUCCESS 0 local - 246
1646431853 stage_in_local_local_2_0 POST_SCRIPT_STARTED 4122.0 local - 246
1646431850 stage_in_local_local_0_2 EXECUTE 4127.0 local - 251
1646431850 stage_in_remote_local_2_1 EXECUTE 4126.0 local - 250
1646431850 stage_in_remote_local_0_1 JOB_TERMINATED 4123.0 local - 247
1646431853 stage_in_remote_local_0_1 JOB_SUCCESS 0 local - 247
1646431853 stage_in_remote_local_0_1 POST_SCRIPT_STARTED 4123.0 local - 247
1646431851 stage_in_local_local_0_1 JOB_TERMINATED 4124.0 local - 248
1646431853 stage_in_local_local_0_1 JOB_SUCCESS 0 local - 248
1646431853 stage_in_local_local_0_1 POST_SCRIPT_STARTED 4124.0 local - 248
1646431852 stage_in_remote_local_2_1 JOB_TERMINATED 4126.0 local - 250
1646431853 stage_in_remote_local_2_1 JOB_SUCCESS 0 local - 250
1646431853 stage_in_remote_local_2_1 POST_SCRIPT_STARTED 4126.0 local - 250
1646431852 stage_in_local_local_0_2 JOB_TERMINATED 4127.0 local - 251
1646431853 stage_in_local_local_0_2 JOB_SUCCESS 0 local - 251
1646431853 stage_in_local_local_0_2 POST_SCRIPT_STARTED 4127.0 local - 251
1646431852 stage_in_local_local_2_1 JOB_TERMINATED 4125.0 local - 249
1646431853 stage_in_local_local_2_1 JOB_SUCCESS 0 local - 249
1646431853 stage_in_local_local_2_1 POST_SCRIPT_STARTED 4125.0 local - 249
1646431853 stage_in_local_local_0_2 POST_SCRIPT_TERMINATED 4127.0 local - 251
1646431858 stage_in_local_local_0_2 POST_SCRIPT_SUCCESS 0 local - 251
1646431853 stage_in_local_local_2_1 POST_SCRIPT_TERMINATED 4125.0 local - 249
1646431858 stage_in_local_local_2_1 POST_SCRIPT_SUCCESS 0 local - 249
1646431853 stage_in_remote_local_2_1 POST_SCRIPT_TERMINATED 4126.0 local - 250
1646431858 stage_in_remote_local_2_1 POST_SCRIPT_SUCCESS 0 local - 250
1646431853 stage_in_local_local_2_0 POST_SCRIPT_TERMINATED 4122.0 local - 246
1646431858 stage_in_local_local_2_0 POST_SCRIPT_SUCCESS 0 local - 246
1646431853 stage_in_remote_local_0_1 POST_SCRIPT_TERMINATED 4123.0 local - 247
1646431858 stage_in_remote_local_0_1 POST_SCRIPT_SUCCESS 0 local - 247
1646431853 stage_in_local_local_0_1 POST_SCRIPT_TERMINATED 4124.0 local - 248
1646431858 stage_in_local_local_0_1 POST_SCRIPT_SUCCESS 0 local - 248
1646431863 sifting_ID0000052 SUBMIT 4128.0 condorpool - 252
1646431863 individuals_ID0000037 SUBMIT 4129.0 condorpool - 253
1646431863 individuals_ID0000038 SUBMIT 4130.0 condorpool - 254
1646431863 individuals_ID0000039 SUBMIT 4131.0 condorpool - 255
1646431863 individuals_ID0000033 SUBMIT 4132.0 condorpool - 256
1646431868 individuals_ID0000034 SUBMIT 4133.0 condorpool - 257
1646431868 individuals_ID0000035 SUBMIT 4134.0 condorpool - 258
1646431868 individuals_ID0000036 SUBMIT 4135.0 condorpool - 259
1646431868 individuals_ID0000030 SUBMIT 4136.0 condorpool - 260
1646431868 individuals_ID0000031 SUBMIT 4137.0 condorpool - 261
1646431873 individuals_ID0000032 SUBMIT 4138.0 condorpool - 262
1646431873 individuals_ID0000004 SUBMIT 4139.0 condorpool - 263
1646431873 individuals_ID0000048 SUBMIT 4140.0 condorpool - 264
1646431874 individuals_ID0000005 SUBMIT 4141.0 condorpool - 265
1646431874 individuals_ID0000049 SUBMIT 4142.0 condorpool - 266
1646431879 individuals_ID0000006 SUBMIT 4143.0 condorpool - 267
1646431879 individuals_ID0000007 SUBMIT 4144.0 condorpool - 268
1646431879 individuals_ID0000044 SUBMIT 4145.0 condorpool - 269
1646431879 individuals_ID0000001 SUBMIT 4146.0 condorpool - 270
1646431879 individuals_ID0000045 SUBMIT 4147.0 condorpool - 271
1646431880 sifting_ID0000052 EXECUTE 4128.0 condorpool - 252
1646431884 individuals_ID0000002 SUBMIT 4148.0 condorpool - 272
1646431884 individuals_ID0000046 SUBMIT 4149.0 condorpool - 273
1646431884 individuals_ID0000003 SUBMIT 4150.0 condorpool - 274
1646431884 individuals_ID0000047 SUBMIT 4151.0 condorpool - 275
