Job,ID,DagmanID,Node IP,SUBMIT,EXECUTE,JOB_TERMINATED,JOB_SUCCESS,POST_SCRIPT_STARTED,POST_SCRIPT_TERMINATED,POST_SCRIPT_SUCCESS,wait_time,exec_time,ps_time
individuals,ID0000019,3435.000.000,192.168.5.105,1646046014,1646046116,1646047185,1646047186,1646047186,1646047186,1646047191,102,1070,5
stage_in_remote_local_1,0,3389.000.000,192.168.5.10,1646045957,1646045960,1646045962,1646045963,1646045963,1646045963,1646045968,3,3,5
individuals,ID0000002,3417.000.000,192.168.5.103,1646045993,1646046057,1646047189,1646047191,1646047191,1646047191,1646047196,64,1134,5
stage_in_remote_local_0,1,3393.000.000,192.168.5.10,1646045963,1646045964,1646045966,1646045968,1646045968,1646045968,1646045973,1,4,5
individuals,ID0000026,3438.000.000,192.168.5.103,1646046019,1646046607,1646047469,1646047471,1646047471,1646047472,1646047476,588,864,5
stage_in_remote_local_0,0,3390.000.000,192.168.5.10,1646045958,1646045960,1646045962,1646045963,1646045963,1646045963,1646045968,2,3,5
sifting,ID0000052,3448.000.000,192.168.5.109,1646046030,1646046972,1646046974,1646046976,1646046976,1646046977,1646046981,942,4,5
individuals,ID0000033,3401.000.000,192.168.5.109,1646045978,1646046062,1646046986,1646046986,1646046986,1646046986,1646046991,84,924,5
stage_in_local_local_2,0,3392.000.000,192.168.5.10,1646045958,1646045960,1646045964,1646045968,1646045968,1646045968,1646045973,2,8,5
individuals,ID0000016,3428.000.000,192.168.5.107,1646046009,1646046087,1646047068,1646047071,1646047071,1646047072,1646047076,78,984,5
individuals,ID0000024,3444.000.000,192.168.5.110,1646046025,1646046920,1646047760,1646047761,1646047761,1646047761,1646047766,895,841,5
individuals_merge,ID0000051,3449.000.000,192.168.5.109,1646047781,1646047798,1646052054,1646052055,1646052055,1646052055,1646052060,17,4257,5
individuals,ID0000042,3425.000.000,192.168.5.108,1646046004,1646046059,1646047041,1646047041,1646047041,1646047042,1646047046,55,982,5
individuals,ID0000014,3434.000.000,192.168.5.105,1646046014,1646046107,1646047187,1646047191,1646047191,1646047191,1646047196,93,1084,5
individuals,ID0000049,3411.000.000,192.168.5.106,1646045988,1646046019,1646047139,1646047141,1646047141,1646047142,1646047146,31,1122,5
mutation_overlap,ID0000061,3460.000.000,192.168.5.110,1646052075,1646052079,1646052290,1646052291,1646052291,1646052291,1646052296,4,212,5
individuals,ID0000012,3432.000.000,192.168.5.101,1646046009,1646046048,1646046765,1646046770,1646046770,1646046770,1646046775,39,722,5
individuals,ID0000020,3446.000.000,192.168.5.110,1646046025,1646046933,1646047770,1646047771,1646047771,1646047772,1646047776,908,838,5
individuals,ID0000029,3441.000.000,192.168.5.101,1646046019,1646046816,1646047509,1646047511,1646047511,1646047511,1646047516,797,695,5
mutation_overlap,ID0000057,3462.000.000,192.168.5.106,1646052075,1646052078,1646052350,1646052351,1646052351,1646052351,1646052356,3,273,5
individuals,ID0000010,3436.000.000,192.168.5.105,1646046014,1646046106,1646047189,1646047191,1646047191,1646047191,1646047196,92,1085,5
individuals,ID0000047,3420.000.000,192.168.5.102,1646045999,1646046067,1646047083,1646047086,1646047086,1646047086,1646047091,68,1019,5
frequency,ID0000066,3459.000.000,192.168.5.110,1646052070,1646052079,1646052873,1646052876,1646052876,1646052876,1646052881,9,797,5
individuals,ID0000017,3429.000.000,192.168.5.107,1646046009,1646046076,1646047062,1646047066,1646047066,1646047066,1646047071,67,990,5
individuals,ID0000034,3402.000.000,192.168.5.104,1646045978,1646046010,1646047282,1646047286,1646047286,1646047286,1646047291,32,1276,5
individuals,ID0000008,3421.000.000,192.168.5.102,1646045999,1646046102,1646047097,1646047101,1646047101,1646047101,1646047106,103,999,5
individuals,ID0000018,3430.000.000,192.168.5.101,1646046009,1646046087,1646046820,1646046821,1646046821,1646046821,1646046826,78,734,5
mutation_overlap,ID0000065,3456.000.000,192.168.5.104,1646052070,1646052079,1646052284,1646052286,1646052286,1646052286,1646052291,9,207,5
stage_in_local_local_0,2,3397.000.000,192.168.5.10,1646045963,1646045964,1646045966,1646045968,1646045968,1646045968,1646045973,1,4,5
frequency,ID0000062,3451.000.000,192.168.5.109,1646052065,1646052079,1646052905,1646052906,1646052906,1646052906,1646052911,14,827,5
stage_in_local_local_0,1,3394.000.000,192.168.5.10,1646045963,1646045964,1646045967,1646045968,1646045968,1646045968,1646045973,1,4,5
mutation_overlap,ID0000053,3452.000.000,192.168.5.109,1646052065,1646052079,1646052298,1646052301,1646052301,1646052302,1646052306,14,222,5
individuals,ID0000046,3418.000.000,192.168.5.102,1646045998,1646046091,1646047096,1646047096,1646047096,1646047097,1646047101,93,1005,5
individuals,ID0000048,3409.000.000,192.168.5.110,1646045988,1646046043,1646046921,1646046926,1646046926,1646046926,1646046931,55,883,5
individuals,ID0000030,3405.000.000,192.168.5.104,1646045983,1646046025,1646047311,1646047316,1646047316,1646047316,1646047321,42,1291,5
