timestamp,description,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14
1646472304, ,3.4000000954,3.5999999046,3.5,3.5,3.4000000954,3.4000000954,0,0,3.2999999523,3.4000000954,3.5,3.5,3.4000000954,3.5
1646472305, ,3.4000000954,3.5999999046,3.4000000954,3.5,3.2999999523,3.2999999523,0,0,3.2999999523,3.4000000954,3.5,3.5,3.4000000954,3.5
1646472306, ,3.4000000954,3.5999999046,3.4000000954,3.5,3.2999999523,3.2999999523,0,0,3.2999999523,3.4000000954,3.5,3.5,3.4000000954,3.5
1646472307, ,3.4000000954,3.5999999046,3.4000000954,3.5,3.2999999523,3.2999999523,0,0,3.5,3.2999999523,3.2999999523,3.4000000954,3.2000000477,3.7999999523
1646472308, ,3.5999999046,3.5,3.4000000954,3.5,3.2999999523,3.2999999523,0,0,3.5,3.2999999523,3.2999999523,3.4000000954,3.2000000477,3.7999999523
1646472309, ,3.5999999046,3.5,3.5,3.2999999523,3.2999999523,3.5,0,0,3.4000000954,3.2999999523,3.2999999523,3.4000000954,3.2000000477,3.7999999523
1646472310, ,3.5999999046,3.5,3.5,3.2999999523,3.2999999523,3.5,0,0,3.4000000954,3.2000000477,3.2999999523,3.2999999523,3.2000000477,3.5
1646472311, ,3.5,3.4000000954,3.5999999046,3.2999999523,3.2999999523,3.5,0,0,3.2999999523,3.5,3.2999999523,3.2999999523,3.2000000477,3.5
1646472312, ,3.5,3.4000000954,3.5999999046,3.7000000477,3.5999999046,3.5,0,0,3.2999999523,3.5,3.4000000954,3.2999999523,3.4000000954,3.4000000954
1646472313, ,3.2999999523,3.5999999046,3.4000000954,3.5,3.5999999046,3.5,0,0,3.2999999523,3.5,3.4000000954,3.2999999523,3.4000000954,3.4000000954
1646472314, ,3.2999999523,3.5999999046,3.4000000954,3.5,3.4000000954,3.2999999523,0,0,3.5,3.5,3.5,3.2999999523,3.4000000954,3.4000000954
1646472315, ,3.2999999523,3.5999999046,3.4000000954,3.5,3.4000000954,3.2999999523,0,0,3.5,3.5,3.5,3.4000000954,3.2999999523,3.5
1646472316, ,3.2999999523,3.5999999046,3.4000000954,3.5,3.4000000954,3.2999999523,0,0,3.5,3.5,3.5,3.4000000954,3.2999999523,3.5
1646472317, ,3.2999999523,3.7000000477,3.4000000954,3.4000000954,3.4000000954,3.2999999523,0,0,3.4000000954,3.2999999523,3.4000000954,3.2999999523,3.2999999523,3.5
1646472318, ,3.2999999523,3.7000000477,3.4000000954,3.4000000954,3.4000000954,3.9000000954,0,0,3.4000000954,3.2999999523,3.4000000954,3.2999999523,3.0999999046,3.2999999523
1646472319, ,3.2999999523,3.7000000477,3.4000000954,3.4000000954,3.4000000954,3.9000000954,0,0,3.4000000954,3.2999999523,3.4000000954,3.2999999523,3.0999999046,3.2999999523
1646472320, ,3.4000000954,3.5,3.5,3.5,3.5999999046,3.5,0,0,3.2999999523,3.2999999523,3.4000000954,3.2999999523,3.0999999046,3.7000000477
1646472321, ,3.4000000954,3.5,3.5,3.5,3.5999999046,3.5,0,0,3.2999999523,3.2999999523,3.4000000954,3.2999999523,3.0999999046,3.7000000477
1646472322, ,3.4000000954,3.5999999046,3.5,3.5,3.5999999046,3.2999999523,0,0,3.2999999523,3.2999999523,3.4000000954,3.2999999523,3.0999999046,3.7000000477
1646472323, ,3.4000000954,3.5999999046,3.5,3.5,3.5999999046,3.2999999523,0,0,3.2999999523,3.2999999523,3.4000000954,3.2999999523,3.0999999046,3.7000000477
1646472324, ,3.4000000954,3.5999999046,3.5,3.5,3.5999999046,3.2999999523,0,0,3.2999999523,3.2999999523,3.5,3.5,3.2999999523,3.4000000954
