Timestamp,Time,Total_energy,192.168.5.101,192.168.5.102,192.168.5.103,192.168.5.104,192.168.5.105,192.168.5.106,192.168.5.107,192.168.5.108,192.168.5.109,192.168.5.110,192.168.5.111,192.168.5.112
1645766082,0,40.7999999523,3.4000000954,3.5999999046,3.2999999523,3.4000000954,3.2999999523,3.4000000954,3.5,3.2000000477,3.5999999046,3.4000000954,3.0999999046,3.5999999046
1645766083,1,40.5000002385,3.4000000954,3.4000000954,3.2000000477,3.2000000477,3.5,3.4000000954,3.5,3.2000000477,3.5999999046,3.4000000954,3.0999999046,3.5999999046
1645766084,2,40.5000002385,3.4000000954,3.4000000954,3.2000000477,3.2000000477,3.5,3.4000000954,3.5,3.2000000477,3.5999999046,3.4000000954,3.0999999046,3.5999999046
1645766085,3,40.5000002385,3.4000000954,3.4000000954,3.2000000477,3.2000000477,3.5,3.4000000954,3.5,3.2000000477,3.5999999046,3.4000000954,3.0999999046,3.5999999046
1645766086,4,41.0000007155,3.4000000954,3.4000000954,3.2000000477,3.2000000477,3.5,3.4000000954,3.5,3.7000000477,3.5,3.4000000954,3.4000000954,3.4000000954
1645766087,5,41.1000001431,3.2999999523,3.4000000954,3.7999999523,3.5,3.5,3.2999999523,3.2999999523,3.2999999523,3.5,3.4000000954,3.4000000954,3.4000000954
1645766088,6,41.1000001431,3.2999999523,3.4000000954,3.7999999523,3.5,3.5,3.2999999523,3.2999999523,3.2999999523,3.5,3.4000000954,3.4000000954,3.4000000954
1645766089,7,41.2000000477,3.2999999523,3.4000000954,3.7999999523,3.5,3.5,3.2999999523,3.2999999523,3.2999999523,3.4000000954,3.5,3.5,3.4000000954
1645766090,8,41.1000003816,3.4000000954,3.5999999046,3.4000000954,3.5,3.4000000954,3.4000000954,3.2999999523,3.2999999523,3.4000000954,3.5,3.5,3.4000000954
1645766091,9,40.8000004293,3.4000000954,3.5999999046,3.4000000954,3.5,3.4000000954,3.4000000954,3.5,3.2999999523,3.4000000954,3.2999999523,3.2000000477,3.4000000954
1645766092,10,40.8000004293,3.5,3.5,3.4000000954,3.5,3.4000000954,3.4000000954,3.5,3.2999999523,3.4000000954,3.2999999523,3.2000000477,3.4000000954
1645766093,11,40.6000001431,3.5,3.5,3.2999999523,3.5,3.2999999523,3.4000000954,3.5,3.2999999523,3.4000000954,3.2999999523,3.2000000477,3.4000000954
1645766094,12,41.2000000477,3.2999999523,3.4000000954,3.4000000954,3.5,3.2999999523,3.4000000954,3.5999999046,3.4000000954,3.5999999046,3.2999999523,3.2000000477,3.7999999523
1645766095,13,41.4000000954,3.2999999523,3.4000000954,3.4000000954,3.4000000954,3.5,3.5,3.5999999046,3.4000000954,3.5999999046,3.2999999523,3.2000000477,3.7999999523
1645766096,14,41.4000000954,3.2999999523,3.4000000954,3.4000000954,3.4000000954,3.5,3.5,3.5999999046,3.4000000954,3.5999999046,3.2999999523,3.2000000477,3.7999999523
1645766097,15,41.3000001908,3.2999999523,3.4000000954,3.4000000954,3.4000000954,3.5,3.5,3.2999999523,3.4000000954,3.5999999046,3.4000000954,3.2999999523,3.7999999523
1645766098,16,41.1000001431,3.2999999523,3.4000000954,3.5,3.5,3.5,3.5,3.2999999523,3.4000000954,3.5999999046,3.4000000954,3.2999999523,3.4000000954
1645766099,17,41.1000003816,3.2999999523,3.4000000954,3.5,3.5,3.5,3.5,3.4000000954,3.4000000954,3.4000000954,3.4000000954,3.2999999523,3.5
1645766100,18,41.1000003816,3.2999999523,3.4000000954,3.5,3.5,3.5,3.5,3.4000000954,3.4000000954,3.4000000954,3.4000000954,3.2999999523,3.5
1645766101,19,40.7000002862,3.2999999523,3.5,3.2999999523,3.4000000954,3.2999999523,3.5,3.4000000954,3.4000000954,3.4000000954,3.4000000954,3.2999999523,3.5
1645766102,20,41.1999998093,3.2999999523,3.5,3.2999999523,3.4000000954,3.2999999523,3.4000000954,3.5,3.2999999523,4.1999998093,3.2999999523,3.2999999523,3.4000000954
1645766103,21,41.1999998093,3.2999999523,3.5,3.2999999523,3.4000000954,3.2999999523,3.4000000954,3.5,3.2999999523,4.1999998093,3.2999999523,3.2999999523,3.4000000954
1645766104,22,41.5999996662,3.5,3.5999999046,3.2999999523,3.4000000954,3.2999999523,3.5,3.5,3.2999999523,4.1999998093,3.2999999523,3.2999999523,3.4000000954
1645766105,23,40.8999998569,3.5,3.5999999046,3.2999999523,3.4000000954,3.2999999523,3.5,3.5,3.2999999523,3.4000000954,3.2999999523,3.2999999523,3.5
1645766106,24,40.8999998569,3.5,3.5999999046,3.2999999523,3.4000000954,3.2999999523,3.5,3.5,3.2999999523,3.4000000954,3.2999999523,3.2999999523,3.5
1645766107,25,41.0000002385,3.5,3.4000000954,3.4000000954,3.5,3.5,3.5,3.4000000954,3.2999999523,3.4000000954,3.2999999523,3.2999999523,3.5
1645766108,26,41.0000002385,3.5,3.4000000954,3.4000000954,3.5,3.5,3.5,3.4000000954,3.2999999523,3.4000000954,3.2999999523,3.2999999523,3.5
1645766109,27,40.9000003339,3.5,3.4000000954,3.4000000954,3.5,3.5,3.5,3.4000000954,3.2999999523,3.4000000954,3.2000000477,3.2999999523,3.5
1645766110,28,40.5,3.2999999523,3.5999999046,3.2999999523,3.5,3.2999999523,3.4000000954,3.4000000954,3.2999999523,3.4000000954,3.2000000477,3.2999999523,3.5
1645766111,29,41.0000002385,3.2999999523,3.5999999046,3.2999999523,3.5,3.2999999523,3.4000000954,3.5,3.4000000954,3.4000000954,3.4000000954,3.4000000954,3.5
1645766112,30,41.1000003816,3.4000000954,3.5999999046,3.2999999523,3.5,3.2999999523,3.4000000954,3.5,3.4000000954,3.4000000954,3.4000000954,3.4000000954,3.5
1645766113,31,41.000000477,3.4000000954,3.5999999046,3.2999999523,3.4000000954,3.2999999523,3.4000000954,3.5,3.4000000954,3.4000000954,3.4000000954,3.4000000954,3.5
1645766114,32,41.1000003816,3.4000000954,3.5999999046,3.2999999523,3.4000000954,3.2999999523,3.4000000954,3.7000000477,3.2999999523,3.4000000954,3.4000000954,3.4000000954,3.5
1645766115,33,40.3000001908,3.2000000477,3.2999999523,3.5999999046,3.4000000954,3.2999999523,3.4000000954,3.7000000477,3.2999999523,3.4000000954,3.4000000954,3.2000000477,3.0999999046
1645766116,34,40.7000000477,3.2000000477,3.2999999523,3.5999999046,3.5,3.5,3.5,3.7000000477,3.2999999523,3.4000000954,3.4000000954,3.2000000477,3.0999999046
1645766117,35,42,3.2999999523,3.5,3.7999999523,3.5,3.5,3.5,3.5,4,3.5,3.2999999523,3.2000000477,3.4000000954
1645766118,36,42,3.2999999523,3.5,3.7999999523,3.5,3.5,3.5,3.5,4,3.5,3.2999999523,3.2000000477,3.4000000954
